scope,cabinet,card,contour,group,param,topic
card,23,090,LED,Мощность,Вт,/Теплица/Досветка/Карта/090/Контур/LED/Мощность/Вт
card,23,090,LED,Электрика,Ток_L1,/Теплица/Досветка/Карта/090/Контур/LED/Электрика/Ток_L1
card,23,090,LED,Электрика,Ток_L2,/Теплица/Досветка/Карта/090/Контур/LED/Электрика/Ток_L2
card,23,090,LED,Электрика,Ток_L3,/Теплица/Досветка/Карта/090/Контур/LED/Электрика/Ток_L3
card,23,090,LED,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/090/Контур/LED/Электрика/Коэффициент_мощности
card,23,090,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/090/Контур/LED/Энергия/Прямая_активная_кВтч
card,23,090,HPS,Управление,Включено,/Теплица/Досветка/Карта/090/Контур/HPS/Управление/Включено
card,23,090,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/090/Контур/HPS/Управление/ШИМ
card,23,090,HPS,Мощность,Вт,/Теплица/Досветка/Карта/090/Контур/HPS/Мощность/Вт
card,23,090,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/090/Контур/HPS/Электрика/Ток_L1
card,23,090,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/090/Контур/HPS/Электрика/Ток_L2
card,23,090,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/090/Контур/HPS/Электрика/Ток_L3
card,23,090,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/090/Контур/HPS/Электрика/Коэффициент_мощности
card,23,090,HPS,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/090/Контур/HPS/Энергия/Прямая_активная_кВтч
card,23,091,LED,Управление,Включено,/Теплица/Досветка/Карта/091/Контур/LED/Управление/Включено
card,23,091,LED,Управление,ШИМ_A,/Теплица/Досветка/Карта/091/Контур/LED/Управление/ШИМ_A
card,23,091,LED,Управление,ШИМ_B,/Теплица/Досветка/Карта/091/Контур/LED/Управление/ШИМ_B
card,23,091,LED,Мощность,Вт,/Теплица/Досветка/Карта/091/Контур/LED/Мощность/Вт
card,23,091,LED,Электрика,Ток_L1,/Теплица/Досветка/Карта/091/Контур/LED/Электрика/Ток_L1
card,23,091,LED,Электрика,Ток_L2,/Теплица/Досветка/Карта/091/Контур/LED/Электрика/Ток_L2
card,23,091,LED,Электрика,Ток_L3,/Теплица/Досветка/Карта/091/Контур/LED/Электрика/Ток_L3
card,23,091,LED,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/091/Контур/LED/Электрика/Коэффициент_мощности
card,23,091,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/091/Контур/LED/Энергия/Прямая_активная_кВтч
card,23,091,HPS,Управление,Включено,/Теплица/Досветка/Карта/091/Контур/HPS/Управление/Включено
card,23,091,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/091/Контур/HPS/Управление/ШИМ
card,23,091,HPS,Мощность,Вт,/Теплица/Досветка/Карта/091/Контур/HPS/Мощность/Вт
card,23,091,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/091/Контур/HPS/Электрика/Ток_L1
card,23,091,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/091/Контур/HPS/Электрика/Ток_L2
card,23,091,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/091/Контур/HPS/Электрика/Ток_L3
card,23,091,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/091/Контур/HPS/Электрика/Коэффициент_мощности
card,23,091,HPS,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/091/Контур/HPS/Энергия/Прямая_активная_кВтч
cabinet,24,,,Общее,Авто_режим,/Теплица/Досветка/ЩД/24/Общее/Авто_режим
cabinet,24,,,Общее,Напряжение_L1,/Теплица/Досветка/ЩД/24/Общее/Напряжение_L1
cabinet,24,,,Общее,Напряжение_L2,/Теплица/Досветка/ЩД/24/Общее/Напряжение_L2
cabinet,24,,,Общее,Напряжение_L3,/Теплица/Досветка/ЩД/24/Общее/Напряжение_L3
cabinet,24,,,Общее,Частота,/Теплица/Досветка/ЩД/24/Общее/Частота
cabinet,24,,,Общее,Освещённость,/Теплица/Досветка/ЩД/24/Общее/Освещённость
cabinet,24,,,Общее,Температура,/Теплица/Досветка/ЩД/24/Общее/Температура
cabinet,24,,,Общее,Влажность,/Теплица/Досветка/ЩД/24/Общее/Влажность
cabinet,24,,,Общее,ИБП_Состояние_батареи,/Теплица/Досветка/ЩД/24/Общее/ИБП_Состояние_батареи
cabinet,24,,,Общее,ИБП_Заряд_проц,/Теплица/Досветка/ЩД/24/Общее/ИБП_Заряд_проц
card,24,092,LED,Управление,Включено,/Теплица/Досветка/Карта/092/Контур/LED/Управление/Включено
card,24,092,LED,Управление,ШИМ_A,/Теплица/Досветка/Карта/092/Контур/LED/Управление/ШИМ_A
card,24,092,LED,Управление,ШИМ_B,/Теплица/Досветка/Карта/092/Контур/LED/Управление/ШИМ_B
card,24,092,LED,Мощность,Вт,/Теплица/Досветка/Карта/092/Контур/LED/Мощность/Вт
card,24,092,LED,Электрика,Ток_L1,/Теплица/Досветка/Карта/092/Контур/LED/Электрика/Ток_L1
card,24,092,LED,Электрика,Ток_L2,/Теплица/Досветка/Карта/092/Контур/LED/Электрика/Ток_L2
card,24,092,LED,Электрика,Ток_L3,/Теплица/Досветка/Карта/092/Контур/LED/Электрика/Ток_L3
card,24,092,LED,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/092/Контур/LED/Электрика/Коэффициент_мощности
card,24,092,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/092/Контур/LED/Энергия/Прямая_активная_кВтч
card,24,092,HPS,Управление,Включено,/Теплица/Досветка/Карта/092/Контур/HPS/Управление/Включено
card,24,092,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/092/Контур/HPS/Управление/ШИМ
card,24,092,HPS,Мощность,Вт,/Теплица/Досветка/Карта/092/Контур/HPS/Мощность/Вт
card,24,092,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/092/Контур/HPS/Электрика/Ток_L1
card,24,092,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/092/Контур/HPS/Электрика/Ток_L2
card,24,092,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/092/Контур/HPS/Электрика/Ток_L3
card,24,092,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/092/Контур/HPS/Электрика/Коэффициент_мощности
card,24,092,HPS,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/092/Контур/HPS/Энергия/Прямая_активная_кВтч
card,24,093,LED,Управление,Включено,/Теплица/Досветка/Карта/093/Контур/LED/Управление/Включено
card,24,093,LED,Управление,ШИМ_A,/Теплица/Досветка/Карта/093/Контур/LED/Управление/ШИМ_A
card,24,093,LED,Управление,ШИМ_B,/Теплица/Досветка/Карта/093/Контур/LED/Управление/ШИМ_B
card,24,093,LED,Мощность,Вт,/Теплица/Досветка/Карта/093/Контур/LED/Мощность/Вт
card,24,093,LED,Электрика,Ток_L1,/Теплица/Досветка/Карта/093/Контур/LED/Электрика/Ток_L1
card,24,093,LED,Электрика,Ток_L2,/Теплица/Досветка/Карта/093/Контур/LED/Электрика/Ток_L2
card,24,093,LED,Электрика,Ток_L3,/Теплица/Досветка/Карта/093/Контур/LED/Электрика/Ток_L3
card,24,093,LED,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/093/Контур/LED/Электрика/Коэффициент_мощности
card,24,093,LED,Энергия,Прямая_активная_кВтч,/Теплица/Досветка/Карта/093/Контур/LED/Энергия/Прямая_активная_кВтч
card,24,093,HPS,Управление,Включено,/Теплица/Досветка/Карта/093/Контур/HPS/Управление/Включено
card,24,093,HPS,Управление,ШИМ,/Теплица/Досветка/Карта/093/Контур/HPS/Управление/ШИМ
card,24,093,HPS,Мощность,Вт,/Теплица/Досветка/Карта/093/Контур/HPS/Мощность/Вт
card,24,093,HPS,Электрика,Ток_L1,/Теплица/Досветка/Карта/093/Контур/HPS/Электрика/Ток_L1
card,24,093,HPS,Электрика,Ток_L2,/Теплица/Досветка/Карта/093/Контур/HPS/Электрика/Ток_L2
card,24,093,HPS,Электрика,Ток_L3,/Теплица/Досветка/Карта/093/Контур/HPS/Электрика/Ток_L3
card,24,093,HPS,Электрика,Коэффициент_мощности,/Теплица/Досветка/Карта/093/Контур/HPS/Электрика/Коэффициент_мощности
